dataset,record_id,rms,peak_to_peak,skewness,kurtosis,qcd
BIS.361,2,0.088056689,0.67136049,-0.064899956,-0.22917626,-83.261096
BIS.361,3,0.11777901,0.81857896,0.06672188,-0.31440964,-49.337203
BIS.361,4,0.10338202,0.80896187,0.15560862,-0.19870375,-23.800373
BIS.361,5,0.10326354,0.83152532,-0.02663282,-0.26610458,-129.34337
BIS.361,6,0.11292663,0.82745648,0.067950744,-0.27977082,-38.54772
BIS.361,7,0.10208896,0.7434902,-0.030643547,-0.26105149,-76.802878
BIS.361,8,0.084733981,0.63363123,-0.1582347,-0.25247511,498892.88
BIS.361,9,0.10411633,0.86518574,-0.029358645,-0.27049054,-78.413034
BIS.361,10,0.11413528,0.84077262,0.019722948,-0.25570337,-85.60274
BIS.361,11,0.1116288,0.80637241,0.027940398,-0.19530259,-51.877572
BIS.361,12,0.10645705,0.80822182,-0.012214897,-0.27958536,-80.402988
BIS.361,13,0.116722,0.80452299,0.034289127,-0.33400346,-63.149672
BIS.361,14,0.10596078,0.81894898,-0.025551818,-0.26261944,-99.263237
BIS.361,15,0.11644694,0.86000752,0.027715986,-0.28214827,-62.578168
BIS.361,16,0.11136535,0.85815788,0.093243806,-0.28515301,-35.084215
BIS.361,17,0.10778108,0.76827313,-0.0011473579,-0.27954269,-67.498122
BIS.361,18,0.10966045,0.78121972,-0.0024388005,-0.28795688,-82.402768
BIS.361,19,0.08421415,0.65841413,-0.16575168,-0.25566303,-322.0941
BIS.361,20,0.10812138,0.86851502,-0.0197055,-0.1966506,-80.402988
BIS.361,21,0.074959804,0.64065933,-0.12666479,-0.23807117,-94.694361
BIS.361,22,0.12823936,0.87961173,0.14797484,-0.31574448,-28.23605
BIS.361,23,0.11541081,0.83966303,0.032462707,-0.26762474,-61.715186
BIS.361,24,0.094621108,0.7323935,-0.09649322,-0.31301829,-90.261723
BIS.361,25,0.10851578,0.78121948,-0.041789422,-0.30957716,-68.505376
BIS.361,26,0.11091256,0.8207984,0.01235011,-0.28510251,-59.435086
BIS.361,27,0.12258061,0.85593866,0.061617803,-0.3279954,-41.999964
BIS.361,28,0.12679519,0.87147404,0.10500858,-0.36696475,-39.91769
BIS.361,29,0.12163186,0.85778807,0.060454077,-0.33496124,-41.820659
BIS.361,30,0.090288338,0.69503378,-0.12840991,-0.26946743,-170.54984
BIS.361,31,0.097026625,0.72980404,0.0017788664,-0.29667821,-52.577071
BIS.361,32,0.1099975,0.85852766,-0.027215656,-0.27287074,-82.402768
BIS.361,33,0.12607116,0.81931877,0.10446777,-0.32637637,-33.930727
BIS.361,34,0.10601786,0.81524993,-0.034170538,-0.27767865,-66.838636
BIS.361,35,0.10532826,0.7960155,-0.038017454,-0.26916119,-132.01033
BIS.361,36,0.12210307,0.87998176,0.060788465,-0.30155237,-45.901661
BIS.361,37,0.11664844,0.8307855,0.061165291,-0.30397209,-39.820541
BIS.361,38,0.1006838,0.75865579,0.054840097,-0.22026622,-31.417493
BIS.361,39,0.083159429,0.66359282,-0.16295537,-0.26208845,488570.33
BIS.361,40,0.10053363,0.76272464,-0.05445847,-0.28160464,-126.67641
BIS.361,41,0.11448423,0.84151244,0.021174933,-0.29640782,-61.715186
BIS.361,42,0.10583591,0.80230356,-0.045267396,-0.22615229,-79.213018
BIS.361,43,0.10880609,0.77937031,0.020360343,-0.26663559,-58.286645
BIS.361,44,0.11981721,0.8733237,0.060883029,-0.28894982,-50.000336
BIS.361,45,0.10573522,0.82560706,-0.041842974,-0.25929944,-132.70528
BIS.361,46,0.10117525,0.70982981,0.075096895,-0.32561982,-29.693648
BIS.361,47,0.10565076,0.76013566,-0.027693028,-0.27860428,-79.602938
BIS.361,48,0.11442684,0.84151243,0.044173536,-0.28468081,-47.778038
BIS.361,49,0.10042822,0.76642393,-0.089006053,-0.29928906,-190.55562
BIS.361,50,0.12601314,0.8618567,0.086975948,-0.32834857,-39.584292
BIS.361,51,0.10179119,0.76235485,-0.045557431,-0.22389776,-126.67641
BIS.361,52,0.10381663,0.7386818,-0.015961312,-0.25952852,-65.171683
BIS.361,53,0.12101762,0.85926747,0.073319361,-0.26975846,-37.750915
BIS.361,54,0.12117623,0.87295364,0.049585447,-0.30949779,-65.149982
BIS.361,55,0.092992222,0.6968832,-0.10120616,-0.22152774,-116.70102
BIS.361,56,0.12127681,0.87221408,0.061332156,-0.29249345,-45.501621
BIS.361,57,0.11006424,0.80378318,-0.015939721,-0.26940993,-59.143734
BIS.361,58,0.10218243,0.76013541,-0.030312656,-0.26122324,-64.171683
BIS.361,59,0.10508203,0.77197218,-0.017245521,-0.27233107,-79.213018
BIS.361,60,0.12143787,0.84965038,0.068311463,-0.32025019,-45.701508
BIS.361,61,0.11228072,0.84003304,0.026537746,-0.27422955,-60.286874
BIS.361,62,0.11480871,0.84558153,0.011025901,-0.31388524,-86.802684
BIS.361,63,0.11434132,0.83152532,0.032112892,-0.29266831,-47.555878
BIS.361,64,0.12670781,0.8914485,0.11054217,-0.28287248,-36.463254
BIS.361,65,0.10681656,0.77641106,-0.026730306,-0.29422711,-80.802888
BIS.361,66,0.098764071,0.73054385,-0.085036403,-0.24496973,-186.55434
BIS.361,67,0.11810197,0.79971433,0.022546557,-0.33895026,-55.877893
BIS.361,68,0.1124824,0.82486724,0.029031048,-0.28588776,-52.877743
BIS.361,69,0.11134958,0.80600262,0.012937444,-0.22477924,-51.877572
BIS.361,70,0.11603959,0.83781361,0.025135742,-0.27850355,-54.377866
BIS.361,71,0.11042407,0.9018054,0.059932477,-0.27110618,-37.456706
BIS.361,72,0.11741829,0.84928036,0.034977617,-0.3258006,-49.111492
BIS.361,73,0.10949709,0.79194664,0.020884882,-0.2781876,-51.37762
BIS.361,74,0.1046244,0.75680637,-0.016960244,-0.26971763,-65.505164
BIS.361,75,0.117847,0.81192088,0.058989509,-0.27770889,-49.111492
BIS.361,76,0.1140881,0.86370636,0.0031600787,-0.27712558,-61.143873
BIS.361,77,0.10237726,0.81451012,-0.07240887,-0.17424673,-127.34337
BIS.361,78,0.10900771,0.77493119,0.065562238,-0.28957544,-31.539871
BIS.361,79,0.10466842,0.76272464,-0.03698289,-0.2608761,-98.262669
BIS.361,80,0.11885798,0.85926747,0.034601776,-0.29736224,-55.877893
BIS.361,81,0.11194377,0.8622267,-0.0037824189,-0.29956383,-84.413621
BIS.361,82,0.11067689,0.87036443,-0.0026927022,-0.28160172,-83.202821
BIS.361,83,0.12186764,0.84262227,0.067233096,-0.33584172,-41.820659
BIS.361,84,0.10262582,0.73794175,-0.020126468,-0.25943549,-55.143742
BIS.361,85,0.10552033,0.80378318,0.014637819,-0.26212093,-49.62739
BIS.361,86,0.087442962,0.73202348,-0.15651247,-0.26395433,-166.54855
BIS.361,87,0.09048958,0.69281459,-0.13749473,-0.25720488,-342.10199
BIS.361,88,0.10331186,0.726475,-0.071324921,-0.31233234,-65.505164
BIS.361,89,0.11690713,0.8862698,0.044817746,-0.2785138,-48.666955
BIS.361,90,0.1142703,0.84114266,0.013174918,-0.28320372,-53.623455
BIS.361,91,0.10496196,0.80859184,-0.018286067,-0.25254786,-98.762916
BIS.361,92,0.10297942,0.76938295,-0.060366583,-0.23307465,-77.202778
BIS.361,93,0.11792148,0.85630846,0.020393386,-0.32814553,-49.555878
BIS.361,94,0.090735876,0.69207478,-0.13929596,-0.28611079,-173.49567
BIS.361,95,0.11863479,0.82708668,0.031750268,-0.29929811,-94.265248
BIS.361,96,0.10583689,0.84558154,0.10830932,-0.22514006,-30.018902
BIS.361,97,0.1235117,0.86111689,0.074657781,-0.32400004,-42.363663
BIS.361,98,0.11197206,0.79601525,0.00076356919,-0.26069275,-60.006477
BIS.361,99,0.11529654,0.80970145,0.075016419,-0.29708217,-33.384481
BSK.362,0,0.26229581,1.9622779,-0.010753873,-0.12245655,-386.14169
BSK.362,1,0.2564013,2.1478358,-0.029396143,-0.053753919,124.66997
BSK.362,2,0.25465245,2.0921693,-0.025929706,-0.076532785,
BSK.362,3,0.25134821,1.9975338,-0.023669651,-0.061449365,183.52003
BSK.362,4,0.2574833,2.0448514,-0.020907152,-0.081098142,-189.52155
BSK.362,5,0.25718217,2.1645365,-0.041536129,-0.052995168,
BSK.362,6,0.25672663,2.2090697,-0.00090742427,-0.099990311,
BSK.362,7,0.27180667,2.0930963,0.005673612,-0.16358335,
BSK.362,8,0.25692435,2.0179458,-0.022218389,-0.11509076,189.47279
BSK.362,9,0.25556484,2.1404143,0.0020998383,-0.020531955,-372.13658
BSK.362,10,0.25773784,2.1840205,-0.052835202,-0.09351278,375.9476
BSK.362,11,0.27376801,2.0652633,0.029906088,-0.17023725,-135.33674
BSK.362,12,0.2664409,2.123714,-0.057694053,-0.081116937,389.94562
BSK.362,13,0.27376801,2.0652633,0.029906088,-0.17023725,-135.33674
BSK.362,14,0.25781009,2.1311355,-0.034623488,-0.12118226,381.94248
BSK.362,15,0.25781009,2.1311355,-0.034623488,-0.12118226,381.94248
BSK.362,16,0.27032155,2.0365014,0.0027252558,-0.155477,-200.52286
BSK.362,17,0.25781009,2.1311355,-0.034623488,-0.12118226,381.94248
BSK.362,18,0.25781009,2.1311355,-0.034623488,-0.12118226,381.94248
BSK.362,19,0.25589823,1.9901113,-0.033840137,-0.092201036,-375.9476
BSK.362,20,0.24947029,2.1478362,-0.021524865,-0.0063265328,361.94567
BSK.362,21,0.26951078,2.1524753,0.0057461311,-0.14214925,-198.52178
BSK.362,22,0.27376801,2.0652633,0.029906088,-0.17023725,-135.33674
BSK.362,23,0.25481217,2.2369046,-0.050751644,-0.047305653,185.4733
BSK.362,24,0.25991495,2.1135077,-0.024357341,-0.10205175,736434.25
BSK.362,25,0.25845482,2.1691751,-0.030190232,-0.10119141,-380.14375
BSK.362,26,0.2744645,2.0680466,0.027379644,-0.15526795,-203.52312
BSK.362,27,0.27032155,2.0365014,0.0027252558,-0.155477,-200.52286
BSK.362,28,0.26498389,2.0661902,-0.031576212,-0.11278438,389.94562
BSK.362,29,0.26090304,2.3111276,-0.014585225,-0.036201945,190.52181
BSK.362,30,0.25554167,2.0671186,-0.01114668,-0.05629619,
BSK.362,31,0.26951078,2.1524753,0.0057461311,-0.14214925,-198.52178
BSK.362,32,0.25337995,2.2211313,-0.047617306,-0.042933067,185.4733
BSK.362,33,0.2787612,2.0532012,0.051497767,-0.17356523,-83.196502
BSK.362,34,0.27740069,2.1005187,0.020168761,-0.2008259,-207.52364
BSK.362,35,0.25911268,2.0392847,-0.031682932,-0.1241419,381.94248
BSK.362,36,0.25659948,2.0587683,-0.066146114,-0.033930351,93.748393
BSK.362,37,0.27257856,2.265666,0.0092541957,-0.14657562,
BSK.362,38,0.25805475,2.1561861,-0.012397045,-0.068174495,
BSK.362,39,0.26421788,2.2016478,-0.016597667,-0.16010255,196.47176
BSK.362,40,0.2546514,2.0374293,-0.015257069,-0.076403179,720970.83
BSK.362,41,0.28183822,2.2999945,0.044752753,-0.18586762,-140.02784
BSK.362,42,0.26975093,2.1376309,-0.018315661,-0.14706833,-397.94035
BSK.362,43,0.2787612,2.0532012,0.051497767,-0.17356523,-83.196502
BSK.362,44,0.27237102,2.0921693,0.018106421,-0.15502221,-202.47073
BSK.362,45,0.27822031,2.1005182,0.027572262,-0.18398797,-103.74812
BSK.362,46,0.260163,2.0921688,-0.036060843,-0.06595762,127.33721
BSK.362,47,0.25911268,2.0392847,-0.031682932,-0.1241419,381.94248
BSK.362,48,0.25911268,2.0392847,-0.031682932,-0.1241419,381.94248
BSK.362,49,0.25953963,2.27216,0.010693831,-0.082914415,-191.52206
BSK.362,50,0.27032155,2.0365014,0.0027252558,-0.155477,-200.52286
BSK.362,51,0.2744645,2.0680466,0.027379644,-0.15526795,-203.52312
BSK.362,52,0.24595452,2.2146368,0.018417026,-0.038129528,-120.00319
BSK.362,53,0.26777413,2.0587683,-0.010523385,-0.13287314,397.94035
BSK.362,54,0.25456574,2.0077401,-0.018877934,-0.036592594,
BSK.362,55,0.26520774,2.2035032,0.0038175349,-0.12045772,-195.47176
BSK.362,56,0.27180667,2.0930963,0.005673612,-0.16358335,
BSK.362,57,0.2564013,2.1478358,-0.029396143,-0.053753919,124.66997
BSK.362,58,0.26326548,2.0355735,-0.023424942,-0.11193283,385.94246
BSK.362,59,0.2691827,2.2433987,-0.025924287,-0.1336963,199.47124
BSK.362,60,0.26520774,2.2035032,0.0038175349,-0.12045772,-195.47176
BSK.362,61,0.25781009,2.1311355,-0.034623488,-0.12118226,381.94248
BSK.362,62,0.26861694,2.1701031,-0.053028679,-0.12859377,132.00353
BSK.362,63,0.24948851,2.2099982,-0.023117245,-0.077305509,365.94565
BSK.362,64,0.26028362,2.0179453,-0.031619812,-0.08924112,190.52181
BSK.362,65,0.25873164,2.1255693,-0.053476219,-0.058723362,189.47279
BSK.362,66,0.25451101,2.1997928,-0.053968778,-0.094789063,373.94356
BSK.362,67,0.26975093,2.1376309,-0.018315661,-0.14706833,-397.94035
BSK.362,68,0.25939376,2.0587678,-0.050477493,-0.056616275,379.94762
BSK.362,69,0.26951078,2.1524753,0.0057461311,-0.14214925,-198.52178
BSK.362,70,0.2787612,2.0532012,0.051497767,-0.17356523,-83.196502
BSK.362,71,0.2787612,2.0532012,0.051497767,-0.17356523,-83.196502
BSK.362,72,0.25481217,2.2369046,-0.050751644,-0.047305653,185.4733
BSK.362,73,0.25466197,2.1218581,-0.01925219,-0.082320553,720970.83
BSK.362,74,0.25805475,2.1561861,-0.012397045,-0.068174495,
BSK.362,75,0.27237102,2.0921693,0.018106421,-0.15502221,-202.47073
BSK.362,76,0.27180667,2.0930963,0.005673612,-0.16358335,
BSK.362,77,0.25769195,2.075468,-0.025131701,-0.098689128,190.52181
BSK.362,78,0.28183822,2.2999945,0.044752753,-0.18586762,-140.02784
BSK.362,79,0.25874911,1.9437218,-0.069549229,-0.065378642,126.66997
BSK.362,80,0.2744645,2.0680466,0.027379644,-0.15526795,-203.52312
BSK.362,81,0.25781009,2.1311355,-0.034623488,-0.12118226,381.94248
BSK.362,82,0.27237102,2.0921693,0.018106421,-0.15502221,-202.47073
BSK.362,83,0.26951078,2.1524753,0.0057461311,-0.14214925,-198.52178
BSK.362,84,0.25911268,2.0392847,-0.031682932,-0.1241419,381.94248
BSK.362,85,0.25805475,2.1561861,-0.012397045,-0.068174495,
BSK.362,86,0.25481217,2.2369046,-0.050751644,-0.047305653,185.4733
BSK.362,87,0.2787612,2.0532012,0.051497767,-0.17356523,-83.196502
BSK.362,88,0.26951078,2.1524753,0.0057461311,-0.14214925,-198.52178
BSK.362,89,0.26951078,2.1524753,0.0057461311,-0.14214925,-198.52178
BSK.362,90,0.25289548,2.0439239,-0.033038583,-0.049746268,184.4733
BSK.362,91,0.27237102,2.0921693,0.018106421,-0.15502221,-202.47073
BSK.362,92,0.27180667,2.0930963,0.005673612,-0.16358335,
BSK.362,93,0.26090304,2.3111276,-0.014585225,-0.036201945,190.52181
BSK.362,94,0.2592768,2.1413416,-0.042133973,-0.047303498,
BSK.362,95,0.27257856,2.265666,0.0092541957,-0.14657562,
BSK.362,96,0.25731927,2.0309348,-0.050002646,-0.070914704,188.47279
BSK.362,97,0.27237102,2.0921693,0.018106421,-0.15502221,-202.47073
BSK.362,98,0.26436921,2.1775251,-0.018888474,-0.1373456,
BSK.362,99,0.27257856,2.265666,0.0092541957,-0.14657562,
BSK.362,100,0.26458262,2.0726852,-0.0026378618,-0.10182754,
BSK.362,101,0.2691827,2.2433987,-0.025924287,-0.1336963,199.47124
